Namespace(graph=True, log=True, mnh=True, steps=10000)
Hidden layer number of features: 512
This fold's validation data contains examples from following classes: [ 3.  7.  3.  7.  5.  3.  3.  7.  4.  8.  4.  2.  6.  2.  8.]
Training: Step 1, Minibatch Loss= 4.7522, Training Accuracy= 26.000
Validation: Step 1, Minibatch Loss= 7.0125, Training Accuracy= 20.000
Training: Step 50, Minibatch Loss= 0.0131, Training Accuracy= 100.000
Validation: Step 50, Minibatch Loss= 0.9999, Training Accuracy= 80.000
Training: Step 100, Minibatch Loss= 0.0022, Training Accuracy= 100.000
Validation: Step 100, Minibatch Loss= 0.9062, Training Accuracy= 66.667
Training: Step 150, Minibatch Loss= 0.0014, Training Accuracy= 100.000
Validation: Step 150, Minibatch Loss= 0.9594, Training Accuracy= 73.333
Training: Step 200, Minibatch Loss= 0.0010, Training Accuracy= 100.000
Validation: Step 200, Minibatch Loss= 0.9342, Training Accuracy= 73.333
Training: Step 250, Minibatch Loss= 0.0006, Training Accuracy= 100.000
Validation: Step 250, Minibatch Loss= 0.8929, Training Accuracy= 80.000
Training: Step 300, Minibatch Loss= 0.0005, Training Accuracy= 100.000
Validation: Step 300, Minibatch Loss= 0.8547, Training Accuracy= 80.000
Training: Step 350, Minibatch Loss= 0.0005, Training Accuracy= 100.000
Validation: Step 350, Minibatch Loss= 0.8744, Training Accuracy= 80.000
Training: Step 400, Minibatch Loss= 0.0004, Training Accuracy= 100.000
Validation: Step 400, Minibatch Loss= 0.8812, Training Accuracy= 80.000
Training: Step 450, Minibatch Loss= 0.0004, Training Accuracy= 100.000
Validation: Step 450, Minibatch Loss= 0.8582, Training Accuracy= 80.000
Training: Step 500, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 500, Minibatch Loss= 0.7687, Training Accuracy= 80.000
Training: Step 550, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 550, Minibatch Loss= 0.7285, Training Accuracy= 80.000
Training: Step 600, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 600, Minibatch Loss= 0.7066, Training Accuracy= 80.000
Training: Step 650, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 650, Minibatch Loss= 0.7028, Training Accuracy= 80.000
Training: Step 700, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 700, Minibatch Loss= 0.7138, Training Accuracy= 80.000
Training: Step 750, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 750, Minibatch Loss= 0.7121, Training Accuracy= 80.000
Training: Step 800, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 800, Minibatch Loss= 0.7171, Training Accuracy= 80.000
Training: Step 850, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 850, Minibatch Loss= 0.7145, Training Accuracy= 80.000
Training: Step 900, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 900, Minibatch Loss= 0.7089, Training Accuracy= 80.000
Training: Step 950, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 950, Minibatch Loss= 0.7124, Training Accuracy= 80.000
Training: Step 1000, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1000, Minibatch Loss= 0.7067, Training Accuracy= 80.000
Training: Step 1050, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1050, Minibatch Loss= 0.7100, Training Accuracy= 80.000
Training: Step 1100, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1100, Minibatch Loss= 0.7091, Training Accuracy= 80.000
Training: Step 1150, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1150, Minibatch Loss= 0.7185, Training Accuracy= 80.000
Training: Step 1200, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1200, Minibatch Loss= 0.7103, Training Accuracy= 80.000
Training: Step 1250, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1250, Minibatch Loss= 0.7114, Training Accuracy= 80.000
Training: Step 1300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1300, Minibatch Loss= 0.7123, Training Accuracy= 80.000
Training: Step 1350, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1350, Minibatch Loss= 0.7166, Training Accuracy= 80.000
Training: Step 1400, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1400, Minibatch Loss= 0.7118, Training Accuracy= 80.000
Training: Step 1450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1450, Minibatch Loss= 0.7148, Training Accuracy= 80.000
Training: Step 1500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1500, Minibatch Loss= 0.7155, Training Accuracy= 80.000
Training: Step 1550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1550, Minibatch Loss= 0.7191, Training Accuracy= 80.000
Training: Step 1600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1600, Minibatch Loss= 0.7123, Training Accuracy= 80.000
Training: Step 1650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1650, Minibatch Loss= 0.7175, Training Accuracy= 80.000
Training: Step 1700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1700, Minibatch Loss= 0.7221, Training Accuracy= 80.000
Training: Step 1750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1750, Minibatch Loss= 0.7124, Training Accuracy= 80.000
Training: Step 1800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1800, Minibatch Loss= 0.7150, Training Accuracy= 80.000
Training: Step 1850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1850, Minibatch Loss= 0.7182, Training Accuracy= 80.000
Training: Step 1900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1900, Minibatch Loss= 0.7194, Training Accuracy= 80.000
Training: Step 1950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1950, Minibatch Loss= 0.7198, Training Accuracy= 80.000
Training: Step 2000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2000, Minibatch Loss= 0.7241, Training Accuracy= 80.000
Training: Step 2050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2050, Minibatch Loss= 0.7225, Training Accuracy= 80.000
Training: Step 2100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2100, Minibatch Loss= 0.7230, Training Accuracy= 80.000
Training: Step 2150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2150, Minibatch Loss= 0.7240, Training Accuracy= 80.000
Training: Step 2200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2200, Minibatch Loss= 0.7319, Training Accuracy= 80.000
Training: Step 2250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2250, Minibatch Loss= 0.7344, Training Accuracy= 80.000
Training: Step 2300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2300, Minibatch Loss= 0.7313, Training Accuracy= 80.000
Training: Step 2350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2350, Minibatch Loss= 0.7283, Training Accuracy= 80.000
Training: Step 2400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2400, Minibatch Loss= 0.7302, Training Accuracy= 80.000
Training: Step 2450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2450, Minibatch Loss= 0.7368, Training Accuracy= 80.000
Training: Step 2500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2500, Minibatch Loss= 0.7404, Training Accuracy= 80.000
Training: Step 2550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2550, Minibatch Loss= 0.7387, Training Accuracy= 80.000
Training: Step 2600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2600, Minibatch Loss= 0.7384, Training Accuracy= 80.000
Training: Step 2650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2650, Minibatch Loss= 0.7348, Training Accuracy= 80.000
Training: Step 2700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2700, Minibatch Loss= 0.7392, Training Accuracy= 80.000
Training: Step 2750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2750, Minibatch Loss= 0.7355, Training Accuracy= 80.000
Training: Step 2800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2800, Minibatch Loss= 0.7347, Training Accuracy= 80.000
Training: Step 2850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2850, Minibatch Loss= 0.7390, Training Accuracy= 80.000
Training: Step 2900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2900, Minibatch Loss= 0.7418, Training Accuracy= 80.000
Training: Step 2950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2950, Minibatch Loss= 0.7458, Training Accuracy= 80.000
Training: Step 3000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3000, Minibatch Loss= 0.7438, Training Accuracy= 80.000
Training: Step 3050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3050, Minibatch Loss= 0.7504, Training Accuracy= 80.000
Training: Step 3100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3100, Minibatch Loss= 0.7498, Training Accuracy= 80.000
Training: Step 3150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3150, Minibatch Loss= 0.7525, Training Accuracy= 80.000
Training: Step 3200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3200, Minibatch Loss= 0.7560, Training Accuracy= 80.000
Training: Step 3250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3250, Minibatch Loss= 0.7548, Training Accuracy= 80.000
Training: Step 3300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3300, Minibatch Loss= 0.7573, Training Accuracy= 80.000
Training: Step 3350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3350, Minibatch Loss= 0.7555, Training Accuracy= 80.000
Training: Step 3400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3400, Minibatch Loss= 0.7593, Training Accuracy= 80.000
